ResourceID,Name
2b6bcb12-593f-4df1-9d63-76681b76e870,"Bartlett, J.R."
2b95eff2-1e67-4765-9b24-06a72f269a5a,"Glanzman, W.D."
2c0e4fa5-7a1d-4b8e-9f57-2aecb954b304,"Knauf, E. A."
2c284690-3065-485a-88ac-953cc75392ca,el Safadi
2c579c0b-28b0-4330-be38-3576d3309853,"Jasmine, J."
2d078eb3-863f-4ea1-98fa-807b641168ca,Ibrahim Hawamdeh
2d2a4218-db2c-4413-ad94-ad14d1606709,"Birrozzi, C."
2d3fa504-3d6e-4fe6-ac0d-8bd04f7b6efa,"Kennedy, David"
2d69afcf-8039-4b50-be36-1fac3a4e288b,"Lee, J.W."
2d7e707a-483c-4c63-8e66-81157dcc2dc8,"Ballet, P."
2ddb2d1b-b89b-4b76-9e8e-5ec7d3f53c7e,"Harris, W."
2def120a-035c-4cd5-bb7b-bca6fb207434,Lt. George Pascoe / John Winterburn
2e002238-843c-456d-b8d2-824ef6a108e7,Akkermans et al.
2e03c885-dbea-4fac-a0d2-760f34fa8da4,"Ilan, Z."
2e089441-6fec-4ba2-b63b-0463c6faad06,"Kennedy, D."
2e345f49-6a2d-41e5-91d4-fe178e0c4d73,Olof Pedersén
2e3ce169-8b05-4d93-bd2c-35871667fca5,"Crassard, Rémy"
2e54baeb-5f33-4e17-a22f-f462ce0214bb,"Procaccini, P."
2e953d06-ab2f-4d2f-9aaa-1df1a104417e,"Ali, C"
2eab0541-571e-4abc-a0f8-4b8f8ce1ba29,Alex symons
2eab0541-571e-4abc-a0f8-4b8f8ce1ba29,Alex Symons
2eab0541-571e-4abc-a0f8-4b8f8ce1ba29,ALex Symons
2ec5ac93-3bcc-43ca-9247-d94c52de10e9,Emma Cunliffe
2edaa377-aac3-4107-849b-fde094aa419d,"Gilibert, D."
2f8a7268-4b47-4c07-bd06-afdd300b70fd,"Schwartz, G.M."
2fb49fba-baac-4e2f-a70b-464f1ea035df,Faten Ali
2fc57b66-2cca-4917-a678-6bf58d32537a,"Radcliffe, F."
2fdb549a-1b7e-42fa-9f4e-69d6f07d09d3,"Degrassi, N."
3000604f-ff91-4037-a3f1-3b5c1ef77610,"Hertell, E."
301a5100-2059-4d77-9922-f3fef8b96833,UNESCO
30367cf4-b374-4f57-a3e1-efb0ebb4d786,"al-Malki, T."
308df7c5-17d4-48ae-803e-51831f5627f3,"al-Sheiba, A.H."
